Water Use,Power Use,Date,Zip,M_dist,Month,Year,ZPOP,ZAREA,ZAREALAND,Nreturns,AGI,SW,EIC,AWND,CLDD,HTDD,PRCP,TAVG
56.48,1002,2008-07-01,91325,0.028581984057636046,7,2008,32417,12494338,12486897,14277,862089,605192.0,3790.0,3.3,83.0,0.0,0.0,21.0
70.47,2383,2008-07-01,90210,0.13626706707046482,7,2008,21741,26383345,26226245,10430,4703101,1586884.0,520.0,3.3,83.0,0.0,0.0,21.0
938.0,0,2008-07-01,91201,6.813896807322027,7,2008,22781,6143646,6116160,10115,494601,369000.0,3797.0,3.3,83.0,0.0,0.0,21.0
303.0,0,2008-07-01,90211,1.926117842836946,7,2008,8434,1813980,1813980,5438,894757,471144.0,780.0,3.3,83.0,0.0,0.0,21.0
854.67,0,2008-07-01,90265,6.172481655966841,7,2008,18116,298041072,279184812,7837,1771931,682034.0,533.0,3.3,83.0,0.0,0.0,21.0
0.0,390,2008-07-01,90245,0.4061609386417613,7,2008,16654,15142094,14148053,9379,851578,653697.0,736.0,3.3,83.0,0.0,0.0,21.0
27.8,520,2008-07-01,90035,0.19217628476351684,7,2008,28418,5330221,5330221,13469,1058332,708021.0,1906.0,3.3,83.0,0.0,0.0,21.0
33.4,609,2008-07-01,91605,0.14907146239955393,7,2008,56343,14189685,14151285,22243,734257,605003.0,13685.0,3.3,83.0,0.0,0.0,21.0
123.1,324,2008-07-01,90012,0.5413754243946376,7,2008,31103,8528623,8375660,8834,364793,288859.0,4741.0,3.3,83.0,0.0,0.0,21.0
43.94,874,2008-07-01,91342,0.06794202887880946,7,2008,91725,143422182,142711370,35734,1505174,1292218.0,18091.0,3.3,83.0,0.0,0.0,21.0
35.29,617,2008-07-01,90046,0.13452358485171642,7,2008,48581,14974008,14970999,26948,1940187,1384367.0,2223.0,3.3,83.0,0.0,0.0,21.0
101.02,396,2008-07-01,90094,0.37141926764529815,7,2008,5464,1582611,1582611,2612,281634,231704.0,173.0,3.3,83.0,0.0,0.0,21.0
24.12,676,2008-07-01,91042,0.22050231088840672,7,2008,27585,129350937,129196196,11779,584777,464556.0,3552.0,3.3,83.0,0.0,0.0,21.0
64.71,727,2008-07-01,90212,0.0919306783532458,7,2008,11555,2474163,2474163,8121,2616341,1372450.0,650.0,3.3,83.0,0.0,0.0,21.0
58.67,430,2008-07-01,90027,0.04543904851782872,7,2008,45151,21671926,21402832,23660,1406329,982450.0,5524.0,3.3,83.0,0.0,0.0,21.0
44.47,916,2008-07-01,91304,0.06386246533364867,7,2008,50231,24409414,24360147,20972,1168264,894798.0,7230.0,3.3,83.0,0.0,0.0,21.0
26.4,378,2008-07-01,90247,0.20295249035450755,7,2008,47487,9734119,9723269,20744,792278,654006.0,9747.0,3.3,83.0,0.0,0.0,21.0
0.0,827,2008-07-01,91205,0.4061609386417613,7,2008,37810,4898344,4897491,16129,536008,457280.0,7570.0,3.3,83.0,0.0,0.0,21.0
26.99,486,2008-07-01,90056,0.19841108942687574,7,2008,7827,4090954,4090954,4421,354274,232623.0,1011.0,3.3,83.0,0.0,0.0,21.0
22.81,348,2008-07-01,90016,0.23058576040569093,7,2008,47596,9402209,9393921,20134,678436,570517.0,13117.0,3.3,83.0,0.0,0.0,21.0
33.08,364,2008-07-01,90034,0.1515345951060661,7,2008,57964,8085207,8062311,28191,1579750,1244232.0,5695.0,3.3,83.0,0.0,0.0,21.0
55.62,949,2008-07-01,90049,0.021962314908884607,7,2008,35482,38906432,38905061,19260,5060939,2124002.0,613.0,3.3,83.0,0.0,0.0,21.0
20.46,332,2008-07-01,90003,0.24867439121913962,7,2008,66266,9198045,9197642,21982,524938,463744.0,25506.0,3.3,83.0,0.0,0.0,21.0
47.36,271,2008-07-01,90006,0.04161729807796066,7,2008,59185,4972248,4972248,19691,469843,398768.0,14946.0,3.3,83.0,0.0,0.0,21.0
19.1,499,2008-07-01,90065,0.2591427052218163,7,2008,45527,13674178,13671567,19947,931863,749994.0,8793.0,3.3,83.0,0.0,0.0,21.0
42.99,1177,2008-07-01,91326,0.07525445410126741,7,2008,33708,21152755,21131468,15268,1357280,919432.0,1698.0,3.3,83.0,0.0,0.0,21.0
